node,x,y
175,47.0649845,15.4432245
8224,47.0646369,15.4436634
176,47.0639172,15.4441848
6088,47.0624582,15.4450231
6089,47.0615715,15.4455158
8050,47.0614174,15.445044
6485,47.0612288,15.4444379
6484,47.0611775,15.4442902
7213,47.0611303,15.4441582
8055,47.0610592,15.4439462
5692,47.06082,15.4431842
8825,47.0606637,15.4424974
2413,47.0606238,15.4423158
2412,47.0605403,15.4418819
6355,47.0602424,15.4403634
430,47.0599904,15.4382658
429,47.0598203,15.4367992
7032,47.0590398,15.4370736
379,47.058008,15.4374575
380,47.0578815,15.4375136
1460,47.0573042,15.4376818
5770,47.0559257,15.4382025
585,47.055064,15.438778
6621,47.0548518,15.4389366
8994,47.0543593,15.4392726
1452,47.0541758,15.4394044
9028,47.0545879,15.4406311
9024,47.0540611,15.4410261
9025,47.0533288,15.4415997
9026,47.0532432,15.441667
8029,47.0535531,15.4424052
888,47.0537194,15.4427733
889,47.0531924,15.4432023
1443,47.0525827,15.4437217
8032,47.0524418,15.4438359
9004,47.05065,15.4453332
8650,47.0504681,15.4454785
3713,47.0475369,15.448035
3757,47.0470068,15.4483301
1182,47.0466042,15.4484893
1120,47.0463694,15.4486131
3740,47.0458055,15.4488607
1583,47.0455898,15.4489487
3742,47.0454403,15.4490165
890,47.0445851,15.4493621
1299,47.0453326,15.4508102
1122,47.046173,15.4525268
894,47.0469799,15.4520064
895,47.0470634,15.4524473
6394,47.0471429,15.4528515
6395,47.0472022,15.4530679
5840,47.047352,15.4536206
5868,47.0474092,15.4537823
8548,47.047407,15.4546985
9001,47.0473885,15.454938
9000,47.0474253,15.454929
9002,47.0480086,15.4548174
1158,47.0498958,15.4540837
1157,47.0500767,15.4539693
143,47.0504983,15.4554915
1192,47.0506055,15.4561844
1219,47.0507235,15.4567582
1114,47.0510536,15.4577187
144,47.0513993,15.4587925
1117,47.0504438,15.4595726
9007,47.0499515,15.459978
1190,47.0496779,15.460199
9008,47.0496116,15.4602535
6777,47.0491001,15.4606739
9009,47.0488295,15.4608817
84,47.0479634,15.4616854
1222,47.0461617,15.4631132
5520,47.0454255,15.4637117
47,47.0450928,15.4642239
6503,47.044726,15.4646758
2762,47.0438391,15.4660368
2763,47.0437513,15.4661725
809,47.0426487,15.4675653
6390,47.0423495,15.4679059
1973,47.042039,15.4682513
1216,47.0418417,15.4679108
1215,47.0415811,15.4673117
141,47.0403448,15.4666875
142,47.0403021,15.4664321
6295,47.0407019,15.4654154
6294,47.0407947,15.4651782
8543,47.0409083,15.4648741
